"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","10uf","","","","Capacitor_Tantalum_SMD:CP_EIA-2012-15_AVX-P_HandSolder","~"
"C3","1","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1","1","SS14","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf"
"D2","1","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"F1","1","250V@500mA","","","","Fuse:Fuseholder_Clip-6.3x32mm_Littelfuse_102_122_Inline_P34.21x7.62mm_D1.98mm_Horizontal","~"
"GND1,MISO1,MOSI1,RESET1,SCK1,VCC1","6","TP","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"H1,H2,H3,H4","4","MH","","Excluded from BOM","","MountingHole:MountingHole_3.5mm_Pad_Via","~"
"J1","1","01X04","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"J2","1","01X02","","","","Battery:BatteryHolder_Keystone_1058_1x2032","~"
"J3,J5","2","01X02","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J4","1","01X03","","","","Connector_JST:JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal","~"
"K1","1","SRD-05VDC-SL-C","","","","RELAY_5V:RELAY_SRD-05VDC-SL-C",""
"PS1","1","HLK-PM01","","","","Converter_ACDC:Converter_ACDC_Hi-Link_HLK-PMxx","https://h.hlktech.com/download/ACDC%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%973W%E7%B3%BB%E5%88%97/1/%E6%B5%B7%E5%87%8C%E7%A7%913W%E7%B3%BB%E5%88%97%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%97%E8%A7%84%E6%A0%BC%E4%B9%A6V2.8.pdf"
"Q1","1","AO3400A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
"R1","1","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2","1","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R3","1","4.7k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"RN1","1","4k7","","","","Resistor_THT:R_Array_SIP5","http://www.vishay.com/docs/31509/csc.pdf"
"RV1","1","275V-14D","","","","Varistor:RV_Disc_D15.5mm_W7.5mm_P7.5mm","~"
"SW1","1","INP","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"U1","1","ATtiny85V-10S","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf"
"U2","1","LM1117DT-3.3","","","","Package_TO_SOT_SMD:TO-252-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
"U3","1","DS3231M","","","","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","http://datasheets.maximintegrated.com/en/ds/DS3231.pdf"
